,0
0,1.1070700192863114
1,0.4897979368948313
2,0.26485603860753315
3,0.13909858455541269
4,-0.4953817655139119
5,-0.8145335773949256
6,-0.5473627743930507
7,-0.4983767376083108
8,-0.31347282774270013
9,0.3016440500428246
10,-0.704156951113788
11,-0.2882119397204548
12,0.38251808135757415
13,0.5442560510387011
14,1.0375798148510569
15,1.4889838285143497
16,1.7703461795453421
17,1.7786145026078373
18,0.9271949122731513
19,0.5944736952430105
20,-0.044181416613696456
21,0.12557611406904812
22,-0.30892359038114137
23,-0.7095082934536379
24,-0.8893345801558752
25,-1.7661214348510441
26,-2.026347231635839
27,-2.3621361921117483
28,-2.5723624690226927
29,-1.9611591327496853
30,-1.5666652806169452
31,-1.2616052420532
32,-0.8646762887947972
33,-0.35469225102778523
34,0.34497416205642395
35,0.9726478158459884
36,1.592659301712608
37,2.1707592121374333
38,2.5288853747737505
39,1.869638830882188
40,1.699365994515965
41,1.3404555820530817
42,1.0128782008474033
43,0.7753582131841341
44,0.6483578812018962
45,0.5592814947391247
46,0.4373384498139785
47,0.31349465607019766
48,0.16995345951312402
49,0.030636370547668434
50,-0.08057064766942545
51,-0.2011203224126561
52,-0.29564380657338063
53,-0.38438179734153266
54,-0.7072715569151669
55,-0.9616778822881145
56,-1.1430066963227574
57,-1.3110222301711545
58,-1.5883332265486771
